,Cluster1,Cluster2,Distanta,Nr_clusteri
154,288.0,294.0,1.2093675038605958,5.0
155,109.0,334.0,1.2166384602311948,4.0
156,282.0,317.0,1.218348722604232,6.0
157,303.0,331.0,1.2843943354169318,16.0
158,320.0,321.0,1.3552758208675384,10.0
159,86.0,335.0,1.3642780037554794,13.0
160,0.0,291.0,1.378343242400557,3.0
161,312.0,316.0,1.3812921880876907,26.0
162,337.0,343.0,1.406650053578436,9.0
163,55.0,333.0,1.464043243932976,3.0
164,322.0,345.0,1.4839680926759,14.0
165,338.0,350.0,1.53846378760582,17.0
166,111.0,336.0,1.7699599746054797,5.0
167,327.0,346.0,1.8298416819453276,22.0
168,324.0,332.0,1.9047416392763123,10.0
169,310.0,344.0,2.118706646897096,18.0
170,325.0,351.0,2.2300780937559597,19.0
171,339.0,341.0,2.2759683085314357,15.0
172,342.0,355.0,2.6151286545575,14.0
173,318.0,349.0,2.6299994754234657,18.0
174,326.0,347.0,2.8001324624917987,22.0
175,340.0,356.0,2.953714666161664,28.0
176,348.0,361.0,3.1590685023545464,48.0
177,353.0,360.0,3.46130522024679,23.0
178,352.0,358.0,3.497922485411917,32.0
179,357.0,364.0,4.356379984057459,42.0
180,147.0,365.0,4.633671536239276,33.0
181,354.0,362.0,4.938032835882074,50.0
182,359.0,367.0,6.490258457191348,47.0
183,363.0,368.0,11.463756105157833,98.0
184,366.0,369.0,15.275143338906915,89.0
185,370.0,371.0,35.37751544152957,187.0
