Siruta,Localitate,Judet,i_0_4,i_10_14,i_15_19,i_20_24,i_25_29,i_30_34,i_35_39,i_40_44,i_45_49,i_5_9,i_50_54,i_55_59,i_60_64,i_65_69,i_70_74,i_75_79,i_80_84,i_85
103693,Iepuresti,GR,0.035,0.059,0.051,0.054,0.073,0.067,0.062,0.082,0.102,0.052,0.041,0.054,0.041,0.052,0.039,0.053,0.046,0.036
103764,Ileana,CL,0.054,0.068,0.07,0.045,0.072,0.064,0.068,0.065,0.077,0.066,0.043,0.053,0.034,0.043,0.053,0.06,0.041,0.027
103862,Ion Roata,IL,0.051,0.068,0.059,0.063,0.073,0.057,0.081,0.081,0.082,0.06,0.044,0.048,0.053,0.048,0.036,0.044,0.033,0.021
103899,Izvoarele,GR,0.036,0.04,0.052,0.053,0.056,0.051,0.067,0.072,0.077,0.041,0.046,0.056,0.054,0.06,0.056,0.077,0.054,0.051
103960,Jilavele,IL,0.036,0.05,0.047,0.053,0.065,0.055,0.074,0.078,0.086,0.053,0.056,0.047,0.059,0.055,0.055,0.048,0.047,0.035
103997,Joita,GR,0.049,0.045,0.067,0.061,0.08,0.072,0.081,0.08,0.099,0.048,0.046,0.058,0.052,0.056,0.031,0.037,0.025,0.012
104047,Letca Noua,GR,0.068,0.062,0.075,0.068,0.081,0.059,0.073,0.068,0.069,0.068,0.047,0.038,0.042,0.044,0.039,0.042,0.036,0.022
104083,Luica,CL,0.05,0.042,0.054,0.058,0.066,0.054,0.071,0.076,0.083,0.053,0.05,0.056,0.057,0.045,0.05,0.057,0.052,0.026
104118,Mihai Bravu,GR,0.063,0.056,0.06,0.067,0.063,0.059,0.069,0.068,0.087,0.04,0.034,0.053,0.056,0.064,0.054,0.051,0.035,0.021
104136,Oras Mihailesti,GR,0.05,0.052,0.06,0.057,0.082,0.073,0.078,0.085,0.085,0.059,0.043,0.051,0.051,0.055,0.036,0.034,0.029,0.019
104181,Manastirea,CL,0.042,0.058,0.063,0.06,0.077,0.06,0.064,0.078,0.083,0.051,0.049,0.047,0.045,0.054,0.05,0.054,0.042,0.024
104225,Marsa,GR,0.056,0.054,0.067,0.079,0.092,0.068,0.073,0.084,0.087,0.056,0.046,0.046,0.043,0.047,0.03,0.037,0.025,0.013
104243,Moara Vlasiei,IF,0.05,0.048,0.052,0.057,0.084,0.076,0.092,0.082,0.092,0.058,0.041,0.056,0.057,0.048,0.035,0.033,0.023,0.016
104270,Movilita,IL,0.058,0.064,0.064,0.061,0.07,0.067,0.083,0.079,0.078,0.065,0.047,0.045,0.049,0.033,0.039,0.04,0.037,0.022
104323,Nana,CL,0.047,0.064,0.064,0.056,0.066,0.056,0.068,0.073,0.073,0.053,0.041,0.051,0.054,0.049,0.051,0.064,0.042,0.028
104341,Nicolae Balcescu,CL,0.053,0.065,0.071,0.07,0.065,0.061,0.073,0.079,0.091,0.066,0.038,0.042,0.044,0.042,0.032,0.055,0.034,0.02
104387,Niculesti,DB,0.055,0.063,0.065,0.062,0.087,0.08,0.091,0.084,0.08,0.073,0.046,0.051,0.049,0.042,0.024,0.026,0.014,0.009
104421,Nuci,IF,0.053,0.049,0.056,0.053,0.071,0.06,0.071,0.077,0.077,0.049,0.041,0.043,0.032,0.054,0.048,0.066,0.055,0.043
