Siruta,Localitate,Judet,i_0_4,i_10_14,i_15_19,i_20_24,i_25_29,i_30_34,i_35_39,i_40_44,i_45_49,i_5_9,i_50_54,i_55_59,i_60_64,i_65_69,i_70_74,i_75_79,i_80_84,i_85
44462,Visani,BR,0.04,0.069,0.07,0.058,0.062,0.046,0.063,0.08,0.072,0.052,0.03,0.044,0.046,0.053,0.053,0.079,0.048,0.036
44505,Viziru,BR,0.056,0.062,0.066,0.061,0.078,0.062,0.08,0.08,0.072,0.062,0.041,0.054,0.044,0.039,0.037,0.047,0.038,0.021
44532,Zavoaia,BR,0.043,0.066,0.066,0.059,0.059,0.065,0.089,0.079,0.066,0.062,0.038,0.053,0.051,0.047,0.044,0.048,0.041,0.025
44560,Cazasu,BR,0.05,0.046,0.054,0.06,0.087,0.073,0.083,0.087,0.087,0.05,0.056,0.064,0.061,0.044,0.032,0.029,0.019,0.02
44818,Municipiul Buzau,BZ,0.04,0.043,0.043,0.05,0.076,0.077,0.086,0.077,0.09,0.049,0.062,0.091,0.083,0.052,0.028,0.025,0.017,0.012
44845,Municipiul Ramnicu Sarat,BZ,0.041,0.052,0.05,0.06,0.08,0.074,0.083,0.078,0.089,0.054,0.063,0.08,0.074,0.049,0.027,0.022,0.015,0.011
44863,Amaru,BZ,0.047,0.061,0.059,0.061,0.058,0.052,0.06,0.081,0.074,0.048,0.051,0.05,0.057,0.043,0.051,0.065,0.049,0.031
44934,Balta Alba,BZ,0.027,0.053,0.055,0.039,0.049,0.046,0.072,0.077,0.075,0.043,0.037,0.041,0.052,0.072,0.066,0.081,0.07,0.043
44989,Balaceanu,BZ,0.04,0.065,0.056,0.068,0.049,0.05,0.058,0.077,0.091,0.062,0.043,0.048,0.053,0.04,0.057,0.062,0.054,0.028
45003,Beceni,BZ,0.033,0.045,0.063,0.058,0.063,0.055,0.064,0.083,0.084,0.04,0.044,0.061,0.07,0.06,0.046,0.054,0.045,0.032
45101,Berca,BZ,0.032,0.045,0.053,0.06,0.074,0.062,0.077,0.088,0.099,0.04,0.057,0.072,0.065,0.053,0.037,0.035,0.029,0.021
45245,Bisoca,BZ,0.061,0.066,0.073,0.073,0.067,0.051,0.068,0.073,0.073,0.067,0.044,0.045,0.043,0.043,0.04,0.059,0.037,0.019
45334,Blajani,BZ,0.033,0.05,0.047,0.048,0.051,0.052,0.069,0.079,0.069,0.04,0.038,0.05,0.058,0.058,0.073,0.083,0.059,0.042
45361,Boldu,BZ,0.043,0.054,0.053,0.057,0.054,0.052,0.062,0.071,0.069,0.055,0.048,0.063,0.06,0.067,0.052,0.055,0.047,0.038
45389,Bozioru,BZ,0.039,0.045,0.056,0.045,0.045,0.064,0.061,0.076,0.048,0.065,0.037,0.047,0.064,0.064,0.055,0.086,0.06,0.043
45496,Bradeanu,BZ,0.041,0.057,0.067,0.053,0.055,0.057,0.071,0.082,0.07,0.048,0.04,0.05,0.053,0.055,0.059,0.061,0.043,0.04
45539,Braesti,BZ,0.072,0.072,0.052,0.067,0.068,0.056,0.068,0.067,0.056,0.072,0.042,0.05,0.057,0.048,0.041,0.05,0.037,0.025
45619,Breaza,BZ,0.036,0.052,0.048,0.059,0.066,0.058,0.067,0.087,0.091,0.053,0.046,0.047,0.058,0.051,0.047,0.056,0.047,0.033
45673,Buda,BZ,0.054,0.067,0.057,0.064,0.069,0.055,0.066,0.081,0.071,0.056,0.042,0.05,0.054,0.047,0.044,0.053,0.04,0.033
45753,Calvini,BZ,0.062,0.074,0.076,0.076,0.091,0.063,0.075,0.076,0.069,0.082,0.043,0.046,0.043,0.039,0.026,0.026,0.017,0.015
45815,C.a. Rosetti,BZ,0.034,0.042,0.056,0.061,0.053,0.045,0.065,0.085,0.084,0.04,0.045,0.047,0.054,0.062,0.064,0.066,0.058,0.04
45888,Canesti,BZ,0.03,0.049,0.067,0.053,0.043,0.04,0.058,0.073,0.091,0.036,0.037,0.056,0.046,0.067,0.072,0.072,0.069,0.043
45959,Catina,BZ,0.042,0.059,0.061,0.066,0.071,0.061,0.077,0.075,0.067,0.049,0.045,0.046,0.058,0.064,0.052,0.057,0.033,0.016
46019,Cernatesti,BZ,0.036,0.043,0.056,0.058,0.07,0.054,0.073,0.084,0.086,0.041,0.05,0.065,0.063,0.061,0.048,0.047,0.042,0.024
46108,Chiliile,BZ,0.018,0.046,0.042,0.039,0.028,0.063,0.062,0.06,0.062,0.028,0.034,0.049,0.065,0.072,0.085,0.092,0.095,0.06
46180,Chiojdu,BZ,0.039,0.053,0.065,0.05,0.065,0.062,0.076,0.076,0.064,0.051,0.04,0.053,0.063,0.061,0.053,0.059,0.042,0.028
46251,Cilibia,BZ,0.052,0.049,0.053,0.073,0.085,0.077,0.067,0.089,0.077,0.054,0.059,0.053,0.052,0.036,0.032,0.044,0.033,0.018
46313,Cislau,BZ,0.037,0.057,0.055,0.066,0.082,0.06,0.066,0.085,0.09,0.054,0.048,0.056,0.058,0.054,0.039,0.041,0.032,0.02
46377,Cochirleanca,BZ,0.039,0.059,0.081,0.067,0.07,0.056,0.079,0.088,0.079,0.053,0.044,0.048,0.051,0.047,0.047,0.042,0.027,0.022
46439,Colti,BZ,0.015,0.043,0.052,0.054,0.042,0.045,0.06,0.075,0.094,0.023,0.048,0.066,0.069,0.07,0.069,0.073,0.064,0.039
46484,Costesti,BZ,0.044,0.055,0.058,0.05,0.077,0.07,0.081,0.092,0.082,0.058,0.045,0.062,0.057,0.043,0.032,0.043,0.033,0.021
46554,Cozieni,BZ,0.032,0.043,0.05,0.049,0.05,0.034,0.066,0.071,0.072,0.035,0.042,0.057,0.064,0.062,0.069,0.084,0.073,0.046
46769,Galbinasi,BZ,0.045,0.045,0.055,0.069,0.075,0.077,0.078,0.082,0.09,0.051,0.053,0.067,0.053,0.044,0.039,0.033,0.027,0.018
46803,Gheraseni,BZ,0.036,0.048,0.06,0.05,0.064,0.056,0.068,0.093,0.076,0.043,0.047,0.066,0.06,0.055,0.054,0.058,0.039,0.025
46830,Ghergheasa,BZ,0.033,0.051,0.048,0.05,0.046,0.036,0.061,0.072,0.08,0.049,0.032,0.041,0.054,0.076,0.08,0.083,0.067,0.042
46867,Glodeanu Sarat,BZ,0.039,0.054,0.071,0.054,0.05,0.051,0.072,0.095,0.07,0.054,0.036,0.046,0.043,0.053,0.069,0.064,0.052,0.028
46910,Glodeanu-Silistea,BZ,0.041,0.053,0.06,0.047,0.046,0.051,0.07,0.075,0.076,0.044,0.034,0.049,0.057,0.053,0.062,0.071,0.061,0.049
47006,Grebanu,BZ,0.043,0.057,0.058,0.062,0.074,0.064,0.075,0.082,0.087,0.059,0.049,0.06,0.054,0.048,0.041,0.04,0.03,0.017
47079,Gura Teghii,BZ,0.032,0.05,0.057,0.053,0.085,0.07,0.073,0.084,0.084,0.04,0.057,0.061,0.063,0.047,0.043,0.049,0.035,0.017
47159,Largu,BZ,0.038,0.054,0.061,0.047,0.07,0.056,0.075,0.08,0.072,0.038,0.033,0.049,0.066,0.066,0.06,0.062,0.047,0.024
47186,Lopatari,BZ,0.042,0.061,0.068,0.062,0.066,0.054,0.059,0.078,0.067,0.058,0.048,0.053,0.05,0.056,0.041,0.059,0.048,0.029
47300,Luciu,BZ,0.047,0.058,0.069,0.061,0.07,0.057,0.076,0.082,0.085,0.05,0.056,0.05,0.052,0.042,0.042,0.046,0.033,0.025
47337,Magura,BZ,0.046,0.057,0.059,0.059,0.068,0.056,0.079,0.076,0.073,0.063,0.047,0.062,0.062,0.054,0.035,0.048,0.035,0.022
47373,Maracineni,BZ,0.051,0.058,0.059,0.061,0.08,0.076,0.087,0.085,0.091,0.058,0.051,0.064,0.055,0.042,0.027,0.028,0.017,0.011
47417,Margaritesti,BZ,0.025,0.032,0.028,0.04,0.04,0.042,0.046,0.07,0.073,0.019,0.042,0.051,0.06,0.079,0.082,0.114,0.105,0.053
47453,Merei,BZ,0.038,0.049,0.056,0.054,0.074,0.061,0.075,0.087,0.084,0.047,0.053,0.061,0.07,0.049,0.04,0.045,0.033,0.024
47578,Mihailesti,BZ,0.064,0.06,0.06,0.061,0.072,0.068,0.067,0.063,0.08,0.065,0.044,0.054,0.05,0.039,0.036,0.051,0.042,0.025
47630,Manzalesti,BZ,0.041,0.053,0.059,0.071,0.07,0.05,0.062,0.08,0.084,0.055,0.051,0.053,0.039,0.044,0.048,0.058,0.048,0.033
47774,Movila Banului,BZ,0.039,0.061,0.063,0.065,0.064,0.05,0.072,0.083,0.073,0.052,0.04,0.051,0.056,0.049,0.045,0.062,0.044,0.031
47818,Murgesti,BZ,0.028,0.045,0.049,0.046,0.045,0.04,0.072,0.072,0.06,0.031,0.032,0.042,0.076,0.074,0.07,0.109,0.065,0.043
47854,Naeni,BZ,0.043,0.056,0.071,0.061,0.06,0.053,0.072,0.067,0.08,0.077,0.042,0.043,0.043,0.045,0.058,0.054,0.048,0.027
47916,Oras Nehoiu,BZ,0.037,0.045,0.048,0.057,0.076,0.065,0.073,0.078,0.096,0.045,0.064,0.071,0.065,0.052,0.043,0.043,0.027,0.016
48021,Odaile,BZ,0.023,0.055,0.047,0.047,0.03,0.04,0.055,0.07,0.075,0.042,0.042,0.059,0.07,0.074,0.071,0.088,0.064,0.047
48138,Padina,BZ,0.037,0.057,0.059,0.056,0.048,0.051,0.074,0.074,0.071,0.049,0.04,0.05,0.058,0.066,0.068,0.064,0.043,0.035
48165,Pardosi,BZ,0.025,0.025,0.03,0.038,0.03,0.038,0.045,0.062,0.052,0.018,0.038,0.042,0.048,0.102,0.112,0.135,0.098,0.062
48227,Panatau,BZ,0.033,0.043,0.06,0.058,0.068,0.05,0.058,0.089,0.097,0.04,0.045,0.055,0.047,0.057,0.06,0.062,0.046,0.031
48325,Oras Patarlagele,BZ,0.04,0.044,0.047,0.062,0.079,0.061,0.067,0.074,0.089,0.042,0.057,0.077,0.061,0.06,0.041,0.043,0.035,0.019
48487,Pietroasele,BZ,0.031,0.048,0.061,0.053,0.064,0.057,0.069,0.08,0.104,0.043,0.046,0.054,0.059,0.058,0.05,0.054,0.044,0.025
48557,Parscov,BZ,0.038,0.049,0.052,0.059,0.063,0.06,0.073,0.08,0.088,0.048,0.05,0.064,0.062,0.054,0.051,0.047,0.036,0.025
48682,Podgoria,BZ,0.041,0.054,0.058,0.06,0.069,0.054,0.074,0.087,0.085,0.055,0.042,0.066,0.058,0.052,0.037,0.048,0.04,0.02
48744,Oras Pogoanele,BZ,0.045,0.055,0.062,0.066,0.076,0.058,0.07,0.079,0.086,0.051,0.044,0.056,0.059,0.049,0.044,0.045,0.033,0.021
48771,Posta Calnau,BZ,0.048,0.046,0.054,0.06,0.078,0.069,0.077,0.077,0.086,0.051,0.051,0.063,0.056,0.049,0.042,0.041,0.032,0.02
48842,Puiesti,BZ,0.031,0.054,0.056,0.049,0.044,0.039,0.061,0.072,0.087,0.045,0.046,0.039,0.045,0.068,0.076,0.082,0.061,0.044
48922,Racoviteni,BZ,0.036,0.056,0.062,0.052,0.068,0.051,0.063,0.081,0.076,0.049,0.05,0.046,0.06,0.052,0.056,0.065,0.052,0.024
48968,Ramnicelu,BZ,0.105,0.078,0.07,0.067,0.077,0.058,0.068,0.064,0.067,0.08,0.042,0.052,0.042,0.032,0.03,0.03,0.021,0.016
49019,Robeasca,BZ,0.056,0.064,0.06,0.078,0.076,0.046,0.061,0.069,0.077,0.048,0.043,0.037,0.036,0.048,0.04,0.057,0.064,0.04
49046,Rusetu,BZ,0.036,0.048,0.055,0.06,0.059,0.051,0.077,0.069,0.084,0.04,0.039,0.058,0.061,0.068,0.063,0.057,0.047,0.028
49073,Sageata,BZ,0.039,0.048,0.057,0.057,0.066,0.053,0.074,0.074,0.089,0.038,0.051,0.059,0.061,0.047,0.051,0.063,0.045,0.028
49153,Sahateni,BZ,0.047,0.064,0.067,0.06,0.077,0.055,0.084,0.092,0.099,0.056,0.041,0.048,0.044,0.046,0.034,0.039,0.029,0.017
49206,Sapoca,BZ,0.034,0.046,0.054,0.058,0.074,0.073,0.08,0.088,0.077,0.053,0.052,0.064,0.08,0.051,0.036,0.039,0.021,0.021
49233,Sarulesti,BZ,0.042,0.048,0.06,0.047,0.056,0.047,0.075,0.093,0.069,0.052,0.031,0.041,0.059,0.062,0.065,0.071,0.048,0.035
49313,Scortoasa,BZ,0.045,0.064,0.06,0.055,0.056,0.048,0.06,0.08,0.085,0.052,0.044,0.05,0.054,0.045,0.051,0.056,0.054,0.04
49439,Scutelnici,BZ,0.047,0.057,0.062,0.059,0.066,0.052,0.063,0.07,0.069,0.054,0.048,0.044,0.047,0.052,0.065,0.065,0.052,0.028
49484,Siriu,BZ,0.041,0.06,0.064,0.075,0.086,0.071,0.075,0.084,0.082,0.059,0.062,0.055,0.05,0.04,0.033,0.032,0.02,0.009
49545,Smeeni,BZ,0.044,0.049,0.067,0.064,0.073,0.058,0.071,0.082,0.09,0.053,0.048,0.057,0.053,0.046,0.042,0.046,0.036,0.022
49625,Stalpu,BZ,0.042,0.047,0.063,0.067,0.077,0.059,0.076,0.088,0.098,0.045,0.046,0.065,0.051,0.044,0.043,0.036,0.032,0.021
49643,Tisau,BZ,0.036,0.044,0.053,0.058,0.067,0.057,0.073,0.09,0.09,0.037,0.057,0.062,0.059,0.049,0.05,0.052,0.042,0.024
49769,Topliceni,BZ,0.043,0.053,0.05,0.064,0.08,0.062,0.071,0.073,0.087,0.045,0.049,0.063,0.069,0.051,0.042,0.045,0.03,0.022
49849,Tintesti,BZ,0.049,0.053,0.062,0.065,0.084,0.07,0.075,0.082,0.076,0.05,0.048,0.066,0.052,0.032,0.036,0.045,0.035,0.02
49894,Ulmeni,BZ,0.041,0.047,0.056,0.063,0.071,0.056,0.068,0.085,0.093,0.051,0.047,0.06,0.06,0.052,0.04,0.051,0.034,0.026
49956,Vadu Pasii,BZ,0.044,0.054,0.054,0.057,0.071,0.073,0.084,0.08,0.085,0.056,0.049,0.065,0.06,0.046,0.04,0.039,0.028,0.014
50022,Valea Ramnicului,BZ,0.034,0.048,0.055,0.059,0.069,0.06,0.076,0.082,0.094,0.046,0.054,0.066,0.064,0.054,0.045,0.043,0.028,0.023
50068,Valea Salciei,BZ,0.036,0.046,0.044,0.055,0.05,0.048,0.068,0.074,0.079,0.052,0.047,0.038,0.051,0.071,0.055,0.086,0.062,0.039
50102,Vernesti,BZ,0.044,0.05,0.057,0.062,0.085,0.065,0.081,0.087,0.093,0.054,0.05,0.058,0.059,0.045,0.033,0.034,0.028,0.015
50228,Vintila Voda,BZ,0.032,0.045,0.057,0.062,0.063,0.049,0.07,0.084,0.081,0.042,0.047,0.064,0.062,0.056,0.047,0.057,0.051,0.033
50326,Viperesti,BZ,0.068,0.068,0.064,0.062,0.069,0.06,0.08,0.073,0.067,0.07,0.04,0.051,0.059,0.038,0.032,0.04,0.033,0.027
50399,Valcelele,BZ,0.042,0.044,0.044,0.046,0.06,0.052,0.058,0.067,0.062,0.05,0.037,0.051,0.059,0.07,0.071,0.076,0.067,0.047
50415,Zarnesti,BZ,0.039,0.051,0.057,0.058,0.067,0.062,0.072,0.078,0.082,0.052,0.047,0.061,0.062,0.054,0.048,0.042,0.043,0.025
50479,Ziduri,BZ,0.041,0.048,0.055,0.062,0.068,0.053,0.06,0.074,0.089,0.049,0.048,0.055,0.053,0.048,0.052,0.06,0.052,0.034
50549,Unguriu,BZ,0.033,0.054,0.059,0.054,0.063,0.063,0.078,0.099,0.086,0.053,0.045,0.058,0.063,0.056,0.05,0.042,0.027,0.018
50564,Florica,BZ,0.033,0.041,0.061,0.05,0.05,0.044,0.062,0.082,0.082,0.041,0.038,0.057,0.058,0.064,0.061,0.079,0.053,0.041
50790,Municipiul Resita,CS,0.033,0.045,0.043,0.05,0.08,0.075,0.085,0.081,0.093,0.042,0.069,0.08,0.074,0.054,0.034,0.032,0.017,0.012
50889,Oras Anina,CS,0.041,0.059,0.057,0.067,0.087,0.068,0.072,0.079,0.087,0.047,0.066,0.066,0.063,0.046,0.038,0.028,0.017,0.01
50923,Oras Baile Herculane,CS,0.027,0.039,0.04,0.049,0.069,0.064,0.083,0.078,0.083,0.037,0.077,0.093,0.088,0.072,0.039,0.033,0.019,0.009
50969,Oras Bocsa,CS,0.051,0.058,0.056,0.062,0.079,0.072,0.078,0.077,0.083,0.059,0.053,0.065,0.06,0.052,0.033,0.03,0.017,0.013
50987,Ocna De Fier,CS,0.037,0.065,0.061,0.064,0.091,0.065,0.083,0.079,0.088,0.041,0.051,0.057,0.054,0.04,0.044,0.048,0.017,0.015
51010,Municipiul Caransebes,CS,0.038,0.046,0.05,0.056,0.082,0.075,0.082,0.082,0.089,0.048,0.061,0.076,0.073,0.054,0.03,0.029,0.015,0.013
51056,Oras Moldova Noua,CS,0.036,0.051,0.053,0.057,0.077,0.07,0.081,0.09,0.094,0.042,0.067,0.074,0.07,0.057,0.034,0.026,0.012,0.009
51118,Oras Oravita,CS,0.037,0.048,0.053,0.065,0.084,0.073,0.075,0.078,0.094,0.045,0.07,0.07,0.063,0.051,0.035,0.031,0.018,0.011
51207,Oras Otelu Rosu,CS,0.042,0.049,0.054,0.058,0.081,0.072,0.078,0.077,0.093,0.048,0.063,0.069,0.07,0.05,0.035,0.033,0.018,0.011
51243,Armenis,CS,0.032,0.046,0.044,0.06,0.066,0.085,0.065,0.079,0.083,0.042,0.062,0.065,0.068,0.061,0.047,0.05,0.026,0.018
51305,Bania,CS,0.027,0.054,0.063,0.065,0.072,0.057,0.065,0.084,0.088,0.037,0.053,0.073,0.052,0.062,0.049,0.054,0.028,0.017
51332,Bautar,CS,0.031,0.059,0.053,0.057,0.068,0.07,0.071,0.073,0.086,0.046,0.051,0.07,0.065,0.065,0.044,0.052,0.025,0.016
51387,Berliste,CS,0.064,0.058,0.073,0.064,0.063,0.056,0.066,0.063,0.072,0.069,0.057,0.052,0.053,0.064,0.039,0.031,0.025,0.03
51449,Berzasca,CS,0.029,0.053,0.062,0.066,0.072,0.057,0.078,0.08,0.098,0.04,0.062,0.061,0.064,0.062,0.038,0.039,0.023,0.014
51500,Berzovia,CS,0.042,0.058,0.063,0.061,0.07,0.068,0.083,0.074,0.073,0.051,0.057,0.079,0.061,0.053,0.034,0.04,0.022,0.012
51546,Bolvasnita,CS,0.041,0.045,0.058,0.068,0.081,0.076,0.064,0.066,0.078,0.037,0.069,0.072,0.068,0.061,0.03,0.04,0.024,0.024
51573,Bozovici,CS,0.033,0.061,0.053,0.058,0.064,0.063,0.068,0.068,0.074,0.042,0.058,0.08,0.076,0.068,0.041,0.041,0.031,0.019
51626,Brebu,CS,0.034,0.05,0.035,0.038,0.065,0.062,0.055,0.072,0.064,0.041,0.056,0.069,0.088,0.092,0.057,0.055,0.045,0.022
51662,Brebu Nou,CS,0.017,0.023,0.017,0.013,0.054,0.087,0.091,0.064,0.091,0.003,0.057,0.128,0.087,0.047,0.034,0.064,0.067,0.057
51699,Buchin,CS,0.03,0.055,0.045,0.051,0.067,0.075,0.072,0.077,0.073,0.046,0.059,0.07,0.075,0.071,0.039,0.051,0.019,0.024
51751,Bucosnita,CS,0.033,0.039,0.06,0.06,0.072,0.07,0.075,0.084,0.076,0.039,0.056,0.067,0.075,0.068,0.037,0.044,0.029,0.018
51804,Carasova,CS,0.03,0.045,0.053,0.054,0.074,0.069,0.079,0.086,0.075,0.041,0.06,0.078,0.083,0.065,0.038,0.035,0.024,0.011
51840,Carbunari,CS,0.019,0.045,0.046,0.04,0.052,0.049,0.064,0.072,0.073,0.033,0.068,0.074,0.081,0.074,0.079,0.058,0.051,0.021
51877,Constantin Daicoviciu,CS,0.044,0.052,0.058,0.067,0.076,0.07,0.07,0.077,0.08,0.051,0.049,0.057,0.068,0.06,0.039,0.038,0.027,0.018
51948,Ciclova Romana,CS,0.034,0.048,0.044,0.062,0.062,0.059,0.079,0.069,0.064,0.04,0.048,0.07,0.083,0.064,0.054,0.063,0.037,0.019
51984,Ciuchici,CS,0.049,0.047,0.042,0.074,0.048,0.048,0.049,0.055,0.06,0.058,0.058,0.049,0.067,0.084,0.063,0.064,0.05,0.034
52035,Ciudanovita,CS,0.038,0.072,0.046,0.047,0.084,0.053,0.044,0.05,0.068,0.06,0.09,0.087,0.057,0.054,0.043,0.05,0.028,0.029
52062,Copacele,CS,0.031,0.037,0.062,0.043,0.064,0.045,0.068,0.069,0.07,0.033,0.074,0.077,0.069,0.085,0.055,0.052,0.042,0.025
52115,Cornea,CS,0.023,0.038,0.051,0.053,0.057,0.04,0.066,0.077,0.081,0.029,0.054,0.081,0.075,0.073,0.063,0.064,0.045,0.029
52160,Cornereva,CS,0.038,0.055,0.056,0.063,0.068,0.067,0.08,0.067,0.072,0.054,0.052,0.061,0.065,0.062,0.041,0.045,0.031,0.022
52570,Dalboset,CS,0.03,0.046,0.054,0.053,0.073,0.057,0.066,0.072,0.075,0.043,0.044,0.067,0.065,0.071,0.049,0.061,0.047,0.025
52650,Doclin,CS,0.03,0.048,0.064,0.065,0.068,0.063,0.079,0.084,0.087,0.04,0.053,0.064,0.062,0.068,0.047,0.034,0.024,0.02
52696,Dognecea,CS,0.066,0.069,0.073,0.078,0.071,0.063,0.09,0.062,0.065,0.061,0.048,0.047,0.059,0.045,0.04,0.029,0.018,0.016
52721,Domasnea,CS,0.024,0.05,0.054,0.063,0.072,0.057,0.071,0.076,0.095,0.04,0.053,0.057,0.075,0.068,0.04,0.05,0.034,0.02
52758,Ezeris,CS,0.034,0.054,0.056,0.061,0.069,0.055,0.065,0.071,0.079,0.049,0.06,0.076,0.072,0.063,0.048,0.041,0.032,0.014
52785,Farliug,CS,0.038,0.047,0.049,0.049,0.044,0.052,0.071,0.06,0.074,0.036,0.043,0.064,0.072,0.087,0.069,0.07,0.043,0.033
52856,Forotic,CS,0.048,0.047,0.066,0.067,0.076,0.072,0.06,0.072,0.076,0.058,0.057,0.067,0.054,0.063,0.037,0.032,0.025,0.022
52909,Garnic,CS,0.033,0.059,0.066,0.064,0.078,0.074,0.074,0.066,0.066,0.061,0.057,0.076,0.061,0.057,0.044,0.031,0.021,0.01
52936,Glimboca,CS,0.043,0.054,0.069,0.061,0.075,0.06,0.08,0.081,0.076,0.053,0.045,0.068,0.068,0.056,0.037,0.036,0.022,0.014
52954,Goruia,CS,0.039,0.043,0.046,0.049,0.067,0.051,0.083,0.076,0.073,0.039,0.037,0.09,0.066,0.087,0.051,0.034,0.035,0.034
52990,Gradinari,CS,0.038,0.057,0.058,0.06,0.076,0.066,0.082,0.082,0.074,0.055,0.048,0.07,0.068,0.059,0.031,0.03,0.025,0.021
53023,Iablanita,CS,0.026,0.049,0.044,0.055,0.051,0.061,0.057,0.076,0.073,0.028,0.062,0.083,0.083,0.068,0.058,0.059,0.036,0.028
53069,Lapusnicel,CS,0.017,0.042,0.044,0.041,0.061,0.03,0.057,0.052,0.069,0.017,0.059,0.086,0.089,0.088,0.077,0.087,0.061,0.021
53103,Lapusnicu Mare,CS,0.038,0.051,0.054,0.054,0.06,0.052,0.074,0.054,0.087,0.036,0.051,0.071,0.065,0.077,0.058,0.06,0.034,0.023
53130,Luncavita,CS,0.035,0.047,0.056,0.064,0.065,0.056,0.073,0.075,0.084,0.037,0.056,0.064,0.07,0.07,0.046,0.054,0.033,0.015
53167,Lupac,CS,0.029,0.053,0.046,0.047,0.081,0.075,0.081,0.08,0.075,0.044,0.066,0.069,0.072,0.077,0.042,0.028,0.021,0.016
53210,Marga,CS,0.038,0.042,0.04,0.054,0.078,0.067,0.07,0.078,0.089,0.04,0.059,0.072,0.077,0.068,0.043,0.041,0.029,0.015
53247,Maureni,CS,0.067,0.079,0.067,0.086,0.084,0.064,0.074,0.08,0.069,0.072,0.043,0.046,0.049,0.036,0.031,0.03,0.015,0.011
53274,Mehadia,CS,0.032,0.051,0.056,0.061,0.072,0.066,0.076,0.085,0.082,0.042,0.056,0.069,0.073,0.061,0.039,0.039,0.024,0.013
53327,Mehadica,CS,0.019,0.04,0.047,0.049,0.057,0.04,0.068,0.07,0.069,0.029,0.04,0.047,0.08,0.099,0.073,0.075,0.063,0.033
53345,Naidas,CS,0.039,0.058,0.06,0.045,0.064,0.062,0.068,0.059,0.046,0.048,0.048,0.065,0.071,0.082,0.066,0.057,0.036,0.025
53372,Obreja,CS,0.05,0.059,0.061,0.066,0.074,0.063,0.078,0.074,0.076,0.067,0.05,0.055,0.053,0.059,0.039,0.04,0.023,0.012
53425,Paltinis,CS,0.035,0.051,0.058,0.07,0.076,0.06,0.075,0.087,0.085,0.04,0.062,0.064,0.061,0.056,0.043,0.039,0.018,0.019
53489,Coronini,CS,0.046,0.062,0.055,0.067,0.089,0.08,0.086,0.072,0.065,0.054,0.06,0.068,0.069,0.054,0.028,0.027,0.011,0.01
53513,Pojejena,CS,0.03,0.039,0.046,0.052,0.07,0.057,0.069,0.076,0.081,0.031,0.056,0.085,0.093,0.073,0.043,0.044,0.036,0.019
53577,Prigor,CS,0.035,0.05,0.05,0.059,0.064,0.055,0.074,0.07,0.075,0.043,0.051,0.071,0.075,0.072,0.056,0.05,0.031,0.017
53639,Ramna,CS,0.047,0.039,0.049,0.062,0.074,0.062,0.074,0.067,0.072,0.045,0.057,0.074,0.073,0.068,0.042,0.047,0.023,0.022
53675,Racasdia,CS,0.063,0.056,0.064,0.07,0.084,0.059,0.066,0.065,0.068,0.058,0.053,0.058,0.057,0.056,0.038,0.04,0.026,0.018
53700,Eftimie Murgu,CS,0.03,0.044,0.049,0.057,0.067,0.056,0.072,0.085,0.067,0.042,0.043,0.092,0.072,0.075,0.061,0.043,0.026,0.019
53728,Rusca Montana,CS,0.036,0.049,0.052,0.06,0.083,0.064,0.087,0.085,0.09,0.045,0.069,0.063,0.075,0.045,0.031,0.032,0.021,0.014
53755,Sacu,CS,0.046,0.062,0.055,0.059,0.079,0.057,0.074,0.065,0.072,0.06,0.05,0.062,0.061,0.059,0.038,0.047,0.03,0.024
53791,Sasca Montana,CS,0.034,0.043,0.045,0.047,0.062,0.063,0.08,0.071,0.064,0.027,0.056,0.062,0.075,0.079,0.069,0.049,0.043,0.029
53853,Sichevita,CS,0.025,0.048,0.057,0.055,0.059,0.05,0.076,0.083,0.074,0.036,0.056,0.073,0.072,0.088,0.05,0.049,0.031,0.019
54056,Slatina-Timis,CS,0.038,0.044,0.059,0.049,0.085,0.072,0.069,0.087,0.079,0.041,0.068,0.072,0.057,0.058,0.04,0.039,0.027,0.017
54109,Socol,CS,0.053,0.062,0.057,0.057,0.076,0.063,0.075,0.07,0.082,0.045,0.052,0.067,0.07,0.067,0.036,0.034,0.021,0.013
54163,Sopotu Nou,CS,0.041,0.056,0.057,0.065,0.061,0.053,0.076,0.066,0.07,0.04,0.074,0.07,0.076,0.067,0.04,0.037,0.036,0.015
54270,Teregova,CS,0.037,0.051,0.059,0.061,0.071,0.068,0.07,0.07,0.085,0.041,0.059,0.065,0.063,0.058,0.042,0.047,0.033,0.018
54305,Ticvaniu Mare,CS,0.058,0.077,0.073,0.064,0.076,0.064,0.077,0.068,0.058,0.074,0.042,0.049,0.05,0.044,0.041,0.035,0.028,0.018
54350,Tarnova,CS,0.032,0.06,0.049,0.046,0.066,0.064,0.081,0.071,0.073,0.043,0.056,0.078,0.073,0.06,0.051,0.045,0.031,0.021
54387,Toplet,CS,0.028,0.049,0.053,0.059,0.074,0.075,0.076,0.088,0.08,0.038,0.069,0.082,0.072,0.059,0.034,0.034,0.018,0.012
54412,Turnu Ruieni,CS,0.052,0.059,0.062,0.064,0.08,0.076,0.075,0.073,0.068,0.058,0.051,0.059,0.061,0.054,0.038,0.036,0.017,0.017
54485,Valiug,CS,0.026,0.046,0.048,0.051,0.072,0.068,0.078,0.096,0.068,0.042,0.065,0.079,0.085,0.065,0.04,0.025,0.031,0.017
