,C1,C2
157,0.14484830980472155,-0.0004973433448014035
158,0.030104427473101467,-0.0004970112074538866
159,1.1266866706886018,-0.0005001853716027773
160,-0.07054666760169802,-0.0004967198630522343
161,0.3374497356479357,-0.0004979008483946576
162,1.2245600569707527,-0.000500468675655635
163,-0.11025156387308808,-0.0004966049333613268
164,1.0809361729273295,-0.0005000529423292655
165,0.14970930019185674,-0.0004973574154117172
166,0.1005683637572042,-0.000497215172183136
167,-0.037581800018352575,-0.0004968152830733877
168,-0.22070633703958883,-0.0004962852112581857
169,-0.12450774576477032,-0.0004965636674537742
170,-0.14815911916099958,-0.0004964952062489978
171,-0.18435103078286338,-0.0004963904452344401
172,-0.16658186424165486,-0.0004964418798183391
173,-0.03541682110643521,-0.0004968215498157993
174,-0.11862553890974958,-0.0004965806940746587
175,-0.20828834479010058,-0.0004963211563467181
176,-0.1416641824252475,-0.0004965140064762224
177,-0.095913684663975,-0.000496646435749704
178,-0.10122401029697983,-0.0004966310644947445
179,-0.18578073383790314,-0.0004963863068196331
180,-0.23867974687437446,-0.0004962331854721855
181,-0.21082096163045677,-0.0004963138254404878
182,-0.11637886268040137,-0.0004965871972978957
183,-0.15906571103801723,-0.000496463636056125
184,-0.05400296082195216,-0.0004967677504234444
185,-0.18831335067825933,-0.0004963789759134354
186,0.17082805674772983,-0.0004974185457102634
187,-0.13292256946014722,-0.0004965393099266909
188,-0.19366452496997957,-0.0004963634864180432
189,-0.16212936044167386,-0.0004964547680244234
190,-0.19905654792041524,-0.0004963478786822545
191,-0.18904862653513688,-0.0004963768475858207
192,-0.23814871431107398,-0.0004962347225976616
193,-0.19027408629659953,-0.0004963733003731521
194,-0.044812012610982235,-0.0004967943545185661
195,-0.11772686841801029,-0.0004965832953639456
196,-0.0691986618640891,-0.000496723764986185
197,-0.20698118771120708,-0.0004963249400402264
198,-0.1991382452378461,-0.000496347642201401
199,-0.15796279725270085,-0.0004964668285475319
200,-0.24721711654589765,-0.0004962084732238276
201,-0.1399076901004844,-0.0004965190908143916
202,-0.21216896736806565,-0.0004963099235065483
203,-0.15608375895179144,-0.0004964722676069836
204,-0.17765185075353418,-0.0004964098366637904
205,-0.2051429980690131,-0.0004963302608592593
206,-0.16229275507653557,-0.0004964542950627301
207,-0.19162209203420846,-0.0004963693984391938
208,-0.1914586973993468,-0.0004963698714008801
209,-0.19517592534245018,-0.0004963591115224104
210,-0.051878830568750235,-0.0004967738989254243
211,-0.09546434941810537,-0.0004966477363943545
212,-0.17462905000859297,-0.0004964185864550422
213,-0.09358531111719597,-0.0004966531754537946
214,-0.0953418034419591,-0.000496648091115622
215,-0.0961179279575521,-0.0004966458445475899
216,-0.03476324256698846,-0.0004968234416625621
217,-0.21960342325427246,-0.0004962884037495764
218,-0.18827250201954387,-0.0004963790941538598
219,-0.20914616662312444,-0.0004963186732978209
220,-0.05179713325131938,-0.0004967741354062795
221,-0.1975042988892292,-0.0004963523718183095
222,-0.1345156671500487,-0.0004965346985502011
223,-0.20138492146719428,-0.0004963411389781396
224,-0.22593496535516283,-0.0004962700764840693
225,-0.16919617839944184,-0.0004964343124312878
226,-0.053390230941220834,-0.000496769524029785
227,-0.2441943158009564,-0.000496217223015121
228,-0.14566735097935885,-0.0004965024189147816
229,-0.018873114326689346,-0.0004968694371870142
230,-0.2027329272048032,-0.0004963372370442091
231,-0.14072466327479283,-0.0004965167260059372
232,-0.15984183555361026,-0.0004964613894880883
233,-0.1718921898746597,-0.000496426508563383
234,-0.18271708443424647,-0.0004963951748513486
235,-0.03794943794679135,-0.0004968142189095934
236,-0.19403216289841835,-0.0004963624222542394
237,-0.2185822067863869,-0.0004962913597601529
238,-0.07769518287689685,-0.0004966991709782487
239,-0.09003147780895425,-0.0004966634623705838
240,-0.07977846447138337,-0.0004966931407166886
241,-0.09791526894103067,-0.0004966406419689802
242,-0.1597601382361794,-0.0004964616259689349
243,-0.15971928957746398,-0.000496461744209357
244,-0.18839504799569015,-0.0004963787394325818
245,-0.18488206334616386,-0.0004963889081089409
246,-0.22957049598083543,-0.0004962595530864439
247,-0.1422360636472634,-0.0004965123511103009
248,-0.07548935530626406,-0.0004967055559610769
249,-0.204938754775436,-0.0004963308520613631
250,-0.17062588145448163,-0.00049643017401649
251,-0.16163917653708879,-0.0004964561869094913
252,-0.1718921898746597,-0.000496426508563383
253,-0.13745677057755906,-0.0004965261852397531
254,-0.15334689881785815,-0.0004964801897153093
255,-0.238924838826667,-0.000496232476029641
256,-0.17013569754989658,-0.0004964315929015647
257,-0.16237445239396642,-0.0004964540585818836
258,7.776970855535429,-0.0005194352671476157
259,-0.0598443190182575,-0.0004967508420429901
260,-0.0030238347451056495,-0.0004969153144710458
261,-0.0764697231154342,-0.0004967027181909353
262,0.11788819505254311,-0.0004972653061223938
263,1.8652304202634296,-0.0005023231584462008
264,-0.06907611588794284,-0.0004967241197074445
265,-0.07026072699069008,-0.0004967206907351881
266,0.5662022244542982,-0.000498562994762119
267,0.697775754176672,-0.0004989438471637646
268,0.7245724742939887,-0.000499021412881147
269,-0.0738554089576472,-0.0004967102855779917
270,0.25150415771068807,-0.0004976520705452063
271,-0.030269890108292053,-0.0004968364481090619
272,-0.18316641968011613,-0.000496393874206712
273,0.007229178592465217,-0.0004969449928171427
274,0.04697492352257071,-0.000497060040748485
275,-0.19325603838282535,-0.000496364668822283
276,-0.050530824831141304,-0.0004967778008593784
277,-0.06531803928612401,-0.0004967349978263496
278,-0.08737631499245183,-0.0004966711479980584
279,0.027449264656599043,-0.0004970035218264048
280,-0.1677664753444021,-0.0004964384508460671
281,-0.14162333376653208,-0.0004965141247166364
282,-0.07393710627507805,-0.0004967100490971313
283,-0.12283295075743801,-0.0004965685153111072
284,-0.0636023956200763,-0.0004967399639241024
285,0.008577184330074147,-0.0004969488947510981
286,-0.19084596751861546,-0.0004963716450072191
